,xrsa,xrsb,xrsa_quality,xrsb_quality
2024-05-14 11:25:00,3.8722797e-07,8.073319e-06,0,0
2024-05-14 11:26:00,3.7362173e-07,8.048481e-06,0,0
2024-05-14 11:27:00,3.45427e-07,7.967043e-06,0,0
2024-05-14 11:28:00,3.1944543e-07,7.848764e-06,0,0
2024-05-14 11:29:00,3.0172936e-07,7.727058e-06,0,0
2024-05-14 11:30:00,2.8784078e-07,7.63517e-06,0,0
2024-05-14 11:31:00,2.7747598e-07,7.538497e-06,0,0
2024-05-14 11:32:00,2.6852652e-07,7.465601e-06,0,0
2024-05-14 11:33:00,2.6414952e-07,7.412361e-06,0,0
2024-05-14 11:34:00,2.6285477e-07,7.3824967e-06,0,0
2024-05-14 11:35:00,2.614899e-07,7.35079e-06,0,0
2024-05-14 11:36:00,2.5328566e-07,7.290207e-06,0,0
2024-05-14 11:37:00,2.4839434e-07,7.223905e-06,0,0
2024-05-14 11:38:00,2.4329677e-07,7.1590675e-06,0,0
2024-05-14 11:39:00,2.3992558e-07,7.0962296e-06,0,0
2024-05-14 11:40:00,2.3741704e-07,7.048971e-06,0,0
2024-05-14 11:41:00,2.3478633e-07,7.0065107e-06,0,0
2024-05-14 11:42:00,2.3150513e-07,6.9676666e-06,0,0
2024-05-14 11:43:00,2.2817032e-07,6.9246835e-06,0,0
2024-05-14 11:44:00,2.2468045e-07,6.905352e-06,0,0
2024-05-14 11:45:00,2.2384042e-07,6.8847357e-06,0,0
2024-05-14 11:46:00,2.2071848e-07,6.854201e-06,0,0
2024-05-14 11:47:00,2.1922598e-07,6.8361446e-06,0,0
2024-05-14 11:48:00,2.2041817e-07,6.832047e-06,0,0
2024-05-14 11:49:00,2.2028956e-07,6.837932e-06,0,0
2024-05-14 11:50:00,2.2973298e-07,6.86713e-06,0,0
2024-05-14 11:51:00,2.4025096e-07,6.908231e-06,0,0
2024-05-14 11:52:00,2.423911e-07,6.9269972e-06,0,0
2024-05-14 11:53:00,2.3659217e-07,6.894398e-06,0,0
2024-05-14 11:54:00,2.3081746e-07,6.860338e-06,0,0
2024-05-14 11:55:00,2.2264395e-07,6.817047e-06,0,0
2024-05-14 11:56:00,2.1630431e-07,6.7603573e-06,0,0
2024-05-14 11:57:00,2.1273691e-07,6.7076353e-06,0,0
2024-05-14 11:58:00,2.1170719e-07,6.662107e-06,0,0
2024-05-14 11:59:00,2.146348e-07,6.6410203e-06,0,0
2024-05-14 12:00:00,2.3565173e-07,6.660451e-06,0,0
2024-05-14 12:01:00,2.724677e-07,6.7459264e-06,0,0
2024-05-14 12:02:00,3.0806842e-07,6.863275e-06,0,0
2024-05-14 12:03:00,3.3643119e-07,6.9609473e-06,0,0
2024-05-14 12:04:00,3.5748087e-07,7.036863e-06,0,0
2024-05-14 12:05:00,3.7314595e-07,7.1037725e-06,0,0
2024-05-14 12:06:00,3.7908507e-07,7.13474e-06,0,0
2024-05-14 12:07:00,3.774944e-07,7.1536188e-06,0,0
2024-05-14 12:08:00,3.746464e-07,7.15757e-06,0,0
2024-05-14 12:09:00,3.740032e-07,7.165359e-06,0,0
2024-05-14 12:10:00,3.7240525e-07,7.1786835e-06,0,0
2024-05-14 12:11:00,3.6650866e-07,7.1758523e-06,0,0
2024-05-14 12:12:00,3.5759612e-07,7.1662666e-06,0,0
2024-05-14 12:13:00,3.486016e-07,7.141941e-06,0,0
2024-05-14 12:14:00,3.4258466e-07,7.129667e-06,0,0
2024-05-14 12:15:00,3.3261617e-07,7.1118193e-06,0,0
2024-05-14 12:16:00,3.2623268e-07,7.081866e-06,0,0
2024-05-14 12:17:00,3.170833e-07,7.0368e-06,0,0
2024-05-14 12:18:00,3.0642883e-07,6.9902458e-06,0,0
2024-05-14 12:19:00,2.9890856e-07,6.956e-06,0,0
2024-05-14 12:20:00,2.9307554e-07,6.9285757e-06,0,0
2024-05-14 12:21:00,2.8936788e-07,6.9071752e-06,0,0
2024-05-14 12:22:00,2.8537994e-07,6.8877453e-06,0,0
2024-05-14 12:23:00,2.8730474e-07,6.8993368e-06,0,0
2024-05-14 12:24:00,2.9159926e-07,6.930739e-06,0,0
2024-05-14 12:25:00,2.944571e-07,6.9611747e-06,0,0
2024-05-14 12:26:00,3.004606e-07,6.9974794e-06,0,0
2024-05-14 12:27:00,3.1148053e-07,7.0642964e-06,0,0
2024-05-14 12:28:00,3.2327077e-07,7.144367e-06,0,0
2024-05-14 12:29:00,3.4212985e-07,7.2640987e-06,0,0
2024-05-14 12:30:00,3.634928e-07,7.39444e-06,0,0
2024-05-14 12:31:00,3.7292529e-07,7.4506083e-06,0,0
2024-05-14 12:32:00,3.839436e-07,7.4820437e-06,0,0
2024-05-14 12:33:00,3.8537817e-07,7.470058e-06,0,0
2024-05-14 12:34:00,3.9776995e-07,7.4979725e-06,0,0
2024-05-14 12:35:00,4.0947415e-07,7.5443136e-06,0,0
2024-05-14 12:36:00,4.2460857e-07,7.6317865e-06,0,0
2024-05-14 12:37:00,4.3206708e-07,7.678778e-06,0,0
2024-05-14 12:38:00,4.309932e-07,7.6885135e-06,0,0
2024-05-14 12:39:00,4.2405566e-07,7.6627275e-06,0,0
2024-05-14 12:40:00,4.2873583e-07,7.643266e-06,0,0
2024-05-14 12:41:00,4.4482175e-07,7.6665e-06,0,0
2024-05-14 12:42:00,4.904748e-07,7.768182e-06,0,0
2024-05-14 12:43:00,6.1581756e-07,8.079761e-06,0,0
2024-05-14 12:44:00,8.4475755e-07,8.698186e-06,0,0
2024-05-14 12:45:00,1.2759842e-06,9.738076e-06,0,0
